Horodateur,Nom de la Structure,Thématique de travail,Adresse,Latitude,Longitude,Description de la structure,Contact,Site internet,Photos,Departement,Implication,Lien avec Traces,,
,EGM,,  ,,,,,,,Savoie,,,Réseau,
,Cimade Ain,,  ,,,,,,,Vercors,,,,
,Cimade Ardèche,,  ,,,,,,,,,,,
,Cimade Ardèche,,  ,,,,,,,,,,,
,Cimade Aurillac,,  ,,,,,,,,,,,
,CIMADE Rhône-Alpes,,  ,,,,,,,,,,,
,EMMAUS,,  ,,,,,,,,,,,
,Gaia Chemins de femmes,,  ,,,,,,,,,,,
,AlterEgaux,,  ,,,,,www.alteregaux.fr,,,,,Education /Educ pop,
,Collectif item,,  ,,,,,http://www.collectifitem.com/,,Ain,,,,
,La Tribu hérisson,,  ,,,,,https://latribuherisson.com/,,Rhône,,,,
,Cie No Man's Land,,  ,,,,,https://www.cienomansland.com/,,Rhône,,,,
,Cie La Nouvelle Fabrique,,  ,,,,,https://lanouvellefabrique.fr/spectacles/,,Rhône,,,,
,Les ArTpenteurs,,  ,,,,,https://les-artpenteurs.com/,,Rhône,,,,
,Spectacle écrit par Eliane Benbanaste et Carmen Fuentez,,  ,,,,,,,Rhône,,,,
,Wakan Théâtre,,  ,,,,,http://www.wakantheatre.com/spectacle/augustin-passe-aux-aveux/,,Rhône,,,,
,Nouvelle Fabrique,,  ,,,,,,,,,,,
,PNR Vercors,,  ,,,,,http://www.parc-du-vercors.fr/,,,,,,
,Direction Départementale de la Cohésion Sociale,,  ,,,,,,,,,,,
,Communauté de communes Ardèche Rhône Coiron,,  ,,,,,https://ArdècheRhônecoiron.fr/,,Rhône,,,,
,Mairie d'Annemasse,,  ,,,,,https://www.annemasse.fr/,,Vercors,,,,
,Communaute de communes des Monts du Lyonnais,,  ,,,,,https://cc-montsdulyonnais.fr/,,Ain,,,,
,Communaute de communes Valons du Lyonnais,,  ,,,,,http://www.ccvl.fr/,,Ardèche,,,,
,Commune de Cognin-les-Gorges,,  ,,,,,,,Haute-Savoie,,,,
,Anis Etoilé,,Maison des Paysans Site de Marmilhat 63 370 ,45.778134,3.1707304,,,http://anisetoile.org/,,Rhône,,,Accueil / Accompagnement / solidarités,
,Coup de Soleil AURA,,  ,,,,,https://www.coupdesoleil-Rhônealpes.fr/,,Rhône,,,Patrimoine / mémoire,Equipements culturels / lieux / Champ culturel
,les Ateliers Socio linguistiques,,  ,,,,,,,,,,,
,Univ'pop,,  ,,,,,https://univpop-albertville.fr/,,Auvergne,,,,
,Médiathèque Intercommunale d'Aubenas ,,  ,,,,,https://www.bm-aubenas.fr/,,Region,,,,
,Médiathèque intercommunale de Montélimar,,  ,,,,,https://mediatheque.montelimar-agglo.fr/,,Isère,,,,
,Bibliothèque de La Motte de Galaure ,,  ,,,,,https://www.horaire-bibliotheque.fr/la-motte-de-galaure.html,,Savoie ,,,,
,Centre d’Information Inter-Peuples,,  ,,,,,https://www.ciip.fr/,,Ardèche,,,Réseau  ,Education /Educ pop
,Espace 600,,  ,,,,,https://www.espace600.fr/,,Drome,,,,
,Espace Albert Camus,,  ,,,,,https://www.ville-bron.fr/culture-sport-mes-loisirs/envie-de-culture/les-equipements-culturels/pole-en-scenes/espace-albert-camus,,Drome,,,,
,Librairie Lune et l'Autre,,  ,,,,,,,Isère,,,,
,GRAC asso de cinémas d'art et d'essai,,  ,,,,,,,Isère,,,,
,Festival Interferences ,,  ,,,,,https://www.lacitedoc.com/festival-interferences,,Loire,,,Artistes/ Collectifs d’artistes,
,Karakib,,  ,,,,,https://www.karakib.org/,,Loire,,,Artistes/ Collectifs d’artistes,
,Cinéma Gérard Philippe,,  ,,,,,https://www.ville-venissieux.fr/cinema/Le-programme,,Rhône,,,,
,Maison du Livre  de l'image et du son,,  ,,,,,https://mediatheques.villeurbanne.fr/2016/05/maison-du-livre-de-limage-et-du-son/,,Rhône,,,,
,Médiathèque d'Aveize ,,  ,,,,,,,Rhône,,,,
,Médiathèque de l'Arbresle ,,  ,,,,,,,Rhône,,,,
,MJC Rillieux,,  ,,,,,,,Rhône,,,,
,Ciné Tobogan,,  ,,,,,https://letoboggan.com/cinema/,,Rhône,,,,
,MJC Rillieux la Pape,,  ,,,,,http://mjcrillieux.com/,,Rhône,,,,
,MJC Vieux Lyon,,  ,,,,,,,Rhône,,,,
,Médiathèque Intercommunale de SAint-Marcellin,,  ,,,,,https://www.sAint-marcellin.fr/services/culture/mediatheque,,Rhône,,,,
,Médiathèques départementales de la Drôme ,,  ,,,,,,,Rhône,,,,
,Galerie l'oeil écoute,,  ,,,,,,,Rhône,,,,
,Esil Radio Campus,,  ,,,,,https://www.facebook.com/farataninfraternite,,Vercors,,,,
,Individu,,  ,,,,,http://www.pierreduvert.net/,,,,,Artistes/ Collectifs d’artistes,
,individu,,  ,,,,,https://clementinemetenier.blog/,,,,,Recherche,
,Archives Départementales de l'Ain,,  ,,,,,http://www.archives.Ain.fr/,,Auvergne,,,,
,Musée de la Résistance et de la Déportation,,  ,,,,,,,Isère,,,,
,PEROU,,  ,,,,,http://www.perou-paris.org/,,Isère,,,,
,Grenat,,  ,,,,,,,Ain,,,,
,Bureau des dépositions,,  ,,,,,https://www.pacte-grenoble.fr/programmes/bureau-des-depositions,,Ardèche,,,Artistes/ Collectifs d’artistes,
,Pacte,,  ,,,,,,,Rhône,,,,
,APASHES,,  ,,,,,http://apashes.free.fr/,,Auvergne,,,Journalisme-documentaire (qui peut se mêler avec artistes),Artistes/ Collectifs d’artistes
,Ospere-Samdarra,,  ,,,,,Vinatier,,Isère,,,,
,PEROU,,  ,,,,,,,Isère,,,,
,RIZE,,  ,,,,,,,,,,,
,CMTRA,,  ,,,,,,,,,,,
,Solidarité Tarentaise,,  ,,,,,,,,,,,
,CartOng,,  ,,,,,,,,,,,
,Permakabadio,,  ,,,,,https://iefr.jimdofree.com/ fbclid=IwAR3Vab6_Et3a5UIyVSsGZpi_AtQVz2MIPEvjacGqNihBBRJid1z9Rg8vGWk,,,,,,
,Dans ta Chambre,,22 Rue Charles Robin 01000 Bourg-en-Bresse  ,46.2056504,5.2307453,,,,,Savoie ,,,,
,Ain'Pacte,,  ,,,,,https://www.facebook.com/Ainpacte/,,,,,,
,La Grande Reyssouza,,12 place Alexandre Dumas 1000 ,50.6406421,3.0936544,,,,, ,,,,
,Maison Des Jeunes Et De La Culture Montchapet Maladière,,  ,,,,,,,Ain,,,,
,Direction de l’intégration,,1 rue des Dîmes 01000 ,46.2058458,5.237330699999999,,,,,Ain,,,,
,ASDA 01,,2 rue Larguillière 01000 ,46.1990321,5.2170225,,,,,Ain,,,,
,Amnesty International,,688  avenue de sonod 01300 ,45.7519883,5.700109299999999,,,,,Ain,,,,
,Les rencontres d'Oyonnax,,  ,,,,,www.oyonnax.fr,,Ain,,,,
,Lieutopie,,21 rue Kessler 63000 ,45.769009,3.0874353,,,https://www.lieutopie-clermont.org/,,Ain,,,,
,Festival cuisine sans frontière,,13 rue Henri Le Châtelier  ,45.1860973,5.7116634,,,http://www.cuisine-sans-frontieres.fr,,Ain,,,,
,Festival traces de vie,,6 rue de la Sellette 63000 ,45.7820354,3.0921739,,,https://tracesdevies.org/,,Ain,,,,
,ITSRA  Institut de Travail Social de la Région Auvergne,,  ,,,,,,,Auvergne,,,,
,Point JJ,,  ,,,,,,,Auvergne,,,,
,Cerapcoop,,  ,,,,,http://www.cerapcoop.org/,,Auvergne,,,,
,Le Cabas,,  ,,,,,,,Auvergne,,,,
,Les Milieux,,  ,,,,,,,Auvergne,,,,
,Festival Ecoute(s),,  ,,,,,,,Auvergne,,,,
,Festival International du Théâtre Action,,  ,,,,,,,Drome,,,,
,Pot au Noir,,Domaine de Rivoiranche 38650 ,44.937242,5.623602,,,https://www.potaunoir.com/,,Isère,,,,
,Le Plateau Mistral Eaux-Claires,,74 rue Anatole France 38100 ,45.1728081,5.7058139,,,https://leplateau-mistral.fr/,,Isère,,,,
,Culture ailleurs,,  ,,,,,,,Isère,,,,
,Interstices,,  ,,,,,,,Isère,,,,
,Amis du Monde diplomatique,,  ,,,,,https://www.amis.monde-diplomatique.fr/-Grenoble-.html,,Isère,,,,
,Cinéma RegAin,,,,,,,http://www.cinema-leteil.fr/,,Isère,,,,
,COMEDE 82,,,,,,,,,Isère,,,,
,RAS Réfugiés Accueil Solidaires,,,42.6682004,-71.9282781,,,,,Isère,,,,
,Festival des Solidarités,,  ,,,,,https://www.festivaldessolidarites.org/,,Lieu,,,,
,Dans tous les sens,,1 rue Robert Desnos 69100 ,45.7726395,4.8803189,,,http://www.danstouslessens.org/,,Loire,,,,
,MémoireS,,15 rue Franklin 69120 ,45.78754259999999,4.9228806,,,,,Lyon,,,,
,Maison des passages,,"44 rue Saint Georges
 69005 ",45.75793160000001,4.825008899999999,,,https://maisondespassages.org/,,National,,,,
,Raja-Tikva,,  ,,,,,https://www.facebook.com/Raja-Tikva-1532489817005660/,,Rhône,,,,
,Association Professeurs en Histoire et Geographie/ lyon 1,,  ,,,,,https://www.aphg.fr/,,Rhône,,,,
,Les Transformateurs,,  ,,,,,https://www.facebook.com/les.transformateurs/,,Rhône,,,,
,Maison de quartier des Essarts,,  ,,,,,https://www.maisondesessarts.fr/,,Rhône,,,,
,Regard Sud galerie,,  ,,,,,https://www.regardsud.com/,,Rhône,,,,
,De Scène en Scène,,  ,,,,,,,Rhône,,,,
,Festival Sens interdit,,  ,,,,,,,Rhône,,,,
,ISM Corum,,  ,,,,,,,Rhône,,,,
,Pays de Savoie Solidaires,,  ,,,,,,,Rhône,,,,
,G4P,,16 rue Jacques Porraz 73200 ,45.67327,6.3890145,,,https://assog4p.wixsite.com/g4pfr,,Rhône,,,,
,Les ouvriers de l'image,,  ,,,,,https://www.lesouvriersdelimage.com/,,Rhône,,,,
,Festival le Grand Bivouac,,  ,,,,,https://www.grandbivouac.com/fr,,Savoie,,,,
,ADDCAES,,259 place René Vair 73031 ,45.5622132,5.9028502,,,https://www.addcaes.org/actions/mise-en-reseau-associations/,,Savoie ,,,,
,D'une histoire à l'autre,,  ,,,,,https://www.dune-histoire-a-lautre.fr/,,Savoie ,,,,
,CTE / Collectif TerrAin D'Entente,,  ,,,,,https://www.collectifterrAindentente.com/presentation#!,,Savoie ,,,,
,Alineaire,,  ,,,,,,,Savoie Haute-Savoie,,,,
,Festival du Film Historique,,  ,,,,,http://www.fiffh.com/,,Vercors,,,,
,Pays de Savoie solidaires,,  ,,,,,https://paysdeSavoiesolidaires.org/,,,,,,
,Nouveau Theatre du 8e,,  ,,,,,http://nth8.com/,,,,,,
,Réseau Memhora,,  ,,,,,https://www.reseaumemorha.org/,,,,,,
,Periscope,,  ,,,,,,,,,,,
,Papyart,,  ,,,,,,,,,,,
,CIMADE Auvergne-Limousin,,  ,,,,,https://www.lacimade.org/,,,,,,
,FAMI (Fonds Asile Migration Intégration) ,,  ,,,,,,,,,,,
,Filigrane,,  ,,,,,,,,,,,
,Intermed,,  ,,,,,,,,,,,
,Mayesha Espoir,,  ,,,,,https://www.facebook.com/pages/category/Community/Reseau-Mayesha-Espoir-France-1133869093305771/,,,,,,
,Oyociné,,  ,,,,,,,,,,,
,Syndicat Mixte Pays du Sud Grésivaudan( Biennale de Nord en Sud),,  ,,,,,,,,,,,
,Le GrAin de la Voix,,  ,,,,,,,,,,,
,Karakib,,  ,,,,,https://www.karakib.org/maison-eclusiere-de-parcieux/,,,,,,
,La compagnie d'A,,  ,,,,,,,,3,,,
,ANPU/Agence Nationale,,  ,,,,,,,,3,,,
,Engage.e.S et Détermin.é.e.S,,  ,,,,,,,,3,,,
,Fédération des Tunisiens pour une citoyenneté des 2 rives,,  ,,,,,,,,3,,,
,Association mémoires sans frontières,,  ,,,,,,,,3,,,
,Fédération ARALIS,,  ,,,,,,,,3,,,
,Ancêtres Italiens,,  ,,,,,,,,2,,,
,Association devoir de mémoires,,  ,,,,,,,,3,,,
,Maison des ITaliens,,  ,,,,,,,,3,,,
,ATD Quart monde,,  ,,,,,,,,3,,,
,France Terre D’Asile,,  ,,,,,,,,3,,,
,Archives Départementales de l’Ardèche,,  ,,,,,,,,3,,,
,Mediapress,,  ,,,,,,,,3,,,
,Pacte Laboratoire Sciences Sociales,,  ,,,,,,,,2,,,
,Route des Abolitions - Pôle Mémoriel Nationale de l’Est,,  ,,,,,,,,3,,,
,GRDR Migrations Citoyenneté Développement,,  ,,,,,,,,3,,,
,Luso Journal,,  ,,,,,,,,3,,,
,Archives Nationales du Monde du Travail,,  ,,,,,,,,3,,,
,Permakabadio,,  ,,,,,,,,3,,,
,Collectif SOLAS,,  ,,,,,,,,2,,,
,Coup de pouce Université Lyon,,  ,,,,,,,,3,,,
,Soif de République - Yves Husson,,  ,,,,,,,,2,,,
,,,  ,,,,,,,,1,,,
