Latitude,Longitude,Horodateur,Nom de la Structure,Thématique de travail,Adresse,Description de la structure,Contact,Site internet,Photos,Departement,Implication,Lien avec Traces
45.77414479999999,4.8910385,,Centre Social Buers,Education,Rue Pierre-joseph Proudhon 69100 Villeurbanne  ,,,https://www.buerscroixluizet.fr/,,Rhône,,
45.3964097,4.325790599999999,,Centre Social Cré-Actifs,Education,3 Rue Gambetta 42500 Le Chambon-Feugerolles  ,,,https://www.cre-actifs.fr/,,Loire,,
45.818775,4.9049718,,Centre Social des semailles,Equipements culturels,85 Avenue de l'Europe 69140 Rillieux-la-Pape  ,,,,,Rhône,,
45.7783653,4.9193701,,Centre Social Grand Vire,Education,23 Rue Jules RomAins 69120 Vaulx-en-Velin  ,,,http://csgrandvire.fr/,,Rhône,,
45.78871210000001,4.9144157,,Centre Social Lévy,Education,Rue André Werth 69120 Vaulx-en-Velin  ,,,https://centresocialgeorgeslevy.blogspot.com/,,Rhône,,
46.2568974,5.6440244,,Centre Social Ouest,Equipements culturels,1 Place du Marechal Leclerc 01100 Oyonnax  ,,,,,Ain,,
45.6962522,4.870286,,Centres sociaux des Minguettes,Education,5 Rue Aristide Bruant 69200 Vénissieux  ,,,https://csxminguettes.fr/,,Rhône,,
45.7220573,4.0084691,,Château de Goutelas,Equipements culturels,277 Route de Goutelas 42130 Marcoux  ,,,https://chateaudegoutelas.fr/,,Loire,,
45.4142993,4.7904357,,Cie Candide,Artistes,2 Place de la Mairie 38550 Clonas-sur-Varèze  ,,,http://www.cie-candide.com/,,Drome,,
45.3028808,5.4863037,,Cie Creabulle,Artistes,Clos des Chartreux 38210 Tullins  ,,,https://www.cie-creabulle.fr/,,Isère,,
45.1920862,5.731301999999999,,Cie du Jour,Artistes,1 Rue Président Carnot 38000 Grenoble  ,,,http://www.compagniedujour.net/,,Isère,,
45.7696947,4.8292054,,Cie Essentiel Ephémère,Artistes,2 Rue Fernand Rey 69001 Lyon  ,,,https://www.essentielephemere.fr/,,Rhône,,
45.766776,4.8352628,,Cie Les Enfants Sauvages,Artistes,12 Rue Pizay 69001 Lyon  ,,,https://cielesenfantssauvages.com/,,Rhône,,
45.1869824,5.7046524,,Cie Les Fées Rosses,Artistes,Rue Georges Jacquet 38000 Grenoble  ,,,http://lesfeesrosses.org/wp-content/uploads/2019/06/gensdici-plaquette2019.pdf,,Isère,,
45.76556799999999,4.8285371,,Cie M.A.,Artistes,2 Rue Louis Carrand 69005 Lyon  ,,,https://www.guignol-lyon.net/ fbclid=IwAR1jKzZepeOc_3DtTycq-wqsX3bpV--j-NsFx9_4YTKtT9ZL8rJTrDfs9IA,,Rhône,,
45.1845952,5.724427899999999,,Cimade Grenoble,Solidarités,6 Rue Berthe de Boissieux 38000 Grenoble  ,,,,,Isère,,
45.6572561,3.6022311,,Ciné Parc,Solidarités,Le Fraisse Sud 63880 SAint-Gervais-sous-Meymont  ,,,,,Auvergne,,
45.4213791,4.0643095,,Cinéma Cin’étoile,Equipements culturels,1 Route d'Augel 42380 SAint-Bonnet-le-Château  ,,,http://www.cines-haut-forez.fr/index6.php,,Isère,,
45.1828589,5.7246757,,Cinéma Le Méliès,Equipements culturels,Allée Henri Frenay 38000 Grenoble  ,,,http://www.laligue38.org/programme,,Isère,,
45.8035831,3.10877,,Cinéma le Rio,Equipements culturels,178 Rue sous les Vignes 63100 Clermont-Ferrand  ,,,http://www.cinemalerio.com/,,Auvergne,,
45.770568,4.874349,,Cinéma le Zola,Equipements culturels,117 Cours Emile Zola 69100 Villeurbanne  ,,,https://www.lezola.com/,,Rhône,,
43.2832008,5.490550799999999,,Cinéma RegAin,Equipements culturels,3 Montée Chantecler 13011 Marseille  ,,,http://www.cinema-leteil.fr/,,Ardèche,,
45.4417554,4.3875812,,Cinéma(s) Le(s) Méliè(s),Equipements culturels,10 Place Jean Jaurès 42000 SAint-Étienne  ,,,http://www.lemelies.com/,,Loire,,
45.4362269,4.381762,,Cinémathèque de SAint-Etienne,Equipements culturels,20 Rue Jo Gouttebarge 42000 SAint-Étienne  ,,,https://cinematheque.sAint-etienne.fr/,,Loire,,
45.4213791,4.0643095,,Cinétoile,Equipements culturels,1 Route d'Augel 42380 SAint-Bonnet-le-Château  ,,,http://www.cines-haut-forez.fr/contact7.php,,Loire,,
